1. 四则运算题目1  2 + 7/16 =
2. 四则运算题目2  5/9 × 3/16 ÷ 3 =
3. 四则运算题目3  8 ÷ 18 =
4. 四则运算题目4  3/5 ÷ ( 19’2/13 - ( 1’1/2 - 17/18 ) ) =
5. 四则运算题目5  17 - 3 ÷ 9 + 1/3 =
6. 四则运算题目6  ( 2/3 + 6/7 ) ÷ 19 =
7. 四则运算题目7  ( 16’1/3 - 2/11 ) × 10/11 =
8. 四则运算题目8  8 - 1/2 =
9. 四则运算题目9  ( 12’12/19 - 2’2/3 ) × 9’1/3 =
10. 四则运算题目10  ( 19 + 1/3 ) × 3/7 =
11. 四则运算题目11  4/15 × 2/3 =
12. 四则运算题目12  18 - 10 × 1/2 =
13. 四则运算题目13  6 - 11/12 =
14. 四则运算题目14  17’17/19 - 11’12/13 ÷ 9’5/8 × 11’6/7 =
15. 四则运算题目15  13/19 ÷ 11 × 18 × 3/5 =
16. 四则运算题目16  18 - 13’1/4 × 1’1/9 =
17. 四则运算题目17  1/4 ÷ 3/5 =
18. 四则运算题目18  1/3 + 1/3 =
19. 四则运算题目19  ( 1/6 + 15 - 4 ) - 5/7 =
20. 四则运算题目20  5/18 ÷ 1/2 =
21. 四则运算题目21  5 + 7/18 =
22. 四则运算题目22  2/5 × 4/5 ÷ 4’8/19 =
23. 四则运算题目23  15 × 0 + 15 =
24. 四则运算题目24  ( 4/5 - 1/3 ) × 11’3/5 =
25. 四则运算题目25  13 × 18 =
26. 四则运算题目26  5’1/10 ÷ 18’2/3 × 14 =
27. 四则运算题目27  3/8 × 1/2 =
28. 四则运算题目28  18 - 2/5 + 2’1/14 + 6’7/12 =
29. 四则运算题目29  8 × 4 × 2’3/4 - 15’2/17 =
30. 四则运算题目30  1/2 ÷ 16 =
31. 四则运算题目31  11 × 8’2/13 - 15’1/5 =
32. 四则运算题目32  18 × 8/9 =
33. 四则运算题目33  ( 15’3/10 ÷ 7 × 4 ) ÷ 3 =
34. 四则运算题目34  ( 19’2/3 × 13 - 15/17 ) - 7/9 =
35. 四则运算题目35  2/3 × 6 =
36. 四则运算题目36  1/7 ÷ ( 11’1/8 - 6/7 + 6’2/3 ) =
37. 四则运算题目37  ( 1/3 + 18/19 ) ÷ 16 =
38. 四则运算题目38  10’7/15 - 4’1/4 =
39. 四则运算题目39  ( 1/5 - 0 ) × 17’1/5 =
40. 四则运算题目40  4’4/7 + 4 =
41. 四则运算题目41  1/9 ÷ 16’5/7 + 7/17 =
42. 四则运算题目42  ( 7/11 ÷ 8 ) ÷ 17 =
43. 四则运算题目43  7/16 ÷ ( 17’1/3 × 18 - 2/9 ) =
44. 四则运算题目44  9/10 - 1/13 ÷ 6/7 × 9’3/13 =
45. 四则运算题目45  18 × 11 =
46. 四则运算题目46  ( 2’11/17 ÷ 3’13/18 ) ÷ 18’1/3 =
47. 四则运算题目47  ( 1/2 + 3 ) ÷ 18 =
48. 四则运算题目48  ( 2/5 + 19’8/15 ) × 5 - 7/18 =
49. 四则运算题目49  ( 11 - 1’1/7 ) ÷ 12 × 3’1/2 =
50. 四则运算题目50  15/17 ÷ 2’1/2 + 2/7 =
51. 四则运算题目51  12’3/8 + 9/16 =
52. 四则运算题目52  13 × 1 × 4/7 =
53. 四则运算题目53  2’3/4 - 4/5 =
54. 四则运算题目54  1/2 ÷ 10 × 3 =
55. 四则运算题目55  15 + 18’10/11 =
56. 四则运算题目56  ( 11/17 × 1/2 + 19 ) × 2/9 =
57. 四则运算题目57  3/8 + 15’3/4 + 1’2/17 =
58. 四则运算题目58  18’5/12 ÷ ( 1’15/16 + 13’7/15 + 6’2/3 ) =
59. 四则运算题目59  11’2/3 + 3’9/17 - 2/15 =
60. 四则运算题目60  ( 13’7/17 - 13 ) - 3/19 =
61. 四则运算题目61  7’1/2 × 8/19 =
62. 四则运算题目62  16 - 1’2/3 × 5/8 =
63. 四则运算题目63  ( 7/17 + 1/6 ) × 6/17 × 15 =
64. 四则运算题目64  2/3 + 6’2/3 + 1/2 =
65. 四则运算题目65  ( 14 - 1/6 ) - 10 =
66. 四则运算题目66  5 + 12’3/4 =
67. 四则运算题目67  19’14/19 - 9’2/5 ÷ 12’5/6 × 13/19 =
68. 四则运算题目68  2/15 + 1/8 =
69. 四则运算题目69  19 × 1 =
70. 四则运算题目70  11/12 ÷ 1 × 1’2/13 =
71. 四则运算题目71  17’7/8 - 4’13/17 × 1/2 + 10 =
72. 四则运算题目72  3/4 ÷ ( 6’1/2 - 5/6 ) =
